Using device: cuda:3
Vocab coverage: 0.9026
num_nodetypes: 97, num_nodeattributes: 10030
Parameters: 10,848,710
/src/gs25048/.local/lib/python3.8/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
Epoch 001 | Loss: 15.1505 | Val F1: 0.1769 | Best: 0.1769
Epoch 002 | Loss: 13.9608 | Val F1: 0.1893 | Best: 0.1893
Epoch 003 | Loss: 13.4898 | Val F1: 0.1954 | Best: 0.1954
Epoch 004 | Loss: 13.1944 | Val F1: 0.1963 | Best: 0.1963
Epoch 005 | Loss: 13.0062 | Val F1: 0.1899 | Best: 0.1963
Epoch 006 | Loss: 12.8747 | Val F1: 0.1887 | Best: 0.1963
Epoch 007 | Loss: 12.7759 | Val F1: 0.1914 | Best: 0.1963
Epoch 008 | Loss: 12.7029 | Val F1: 0.1800 | Best: 0.1963
Epoch 009 | Loss: 12.6370 | Val F1: 0.1902 | Best: 0.1963
Epoch 010 | Loss: 12.5874 | Val F1: 0.1943 | Best: 0.1963
Epoch 011 | Loss: 12.5442 | Val F1: 0.1945 | Best: 0.1963
Epoch 012 | Loss: 12.5036 | Val F1: 0.1855 | Best: 0.1963
Epoch 013 | Loss: 12.4692 | Val F1: 0.1827 | Best: 0.1963
Epoch 014 | Loss: 12.4405 | Val F1: 0.1857 | Best: 0.1963
Epoch 015 | Loss: 12.4083 | Val F1: 0.1913 | Best: 0.1963
Epoch 016 | Loss: 12.3828 | Val F1: 0.1895 | Best: 0.1963
Epoch 017 | Loss: 12.3532 | Val F1: 0.1836 | Best: 0.1963
Epoch 018 | Loss: 12.3317 | Val F1: 0.1894 | Best: 0.1963
Epoch 019 | Loss: 12.3107 | Val F1: 0.1868 | Best: 0.1963
Epoch 020 | Loss: 12.2896 | Val F1: 0.1868 | Best: 0.1963
Epoch 021 | Loss: 12.2723 | Val F1: 0.1817 | Best: 0.1963
Epoch 022 | Loss: 12.2595 | Val F1: 0.1779 | Best: 0.1963
Epoch 023 | Loss: 12.2439 | Val F1: 0.1858 | Best: 0.1963
Epoch 024 | Loss: 12.2272 | Val F1: 0.1957 | Best: 0.1963
Epoch 025 | Loss: 12.2179 | Val F1: 0.1834 | Best: 0.1963
Epoch 026 | Loss: 12.2002 | Val F1: 0.1866 | Best: 0.1963
Epoch 027 | Loss: 12.1854 | Val F1: 0.1826 | Best: 0.1963
Epoch 028 | Loss: 12.1699 | Val F1: 0.1831 | Best: 0.1963
Epoch 029 | Loss: 12.1584 | Val F1: 0.1870 | Best: 0.1963
Epoch 030 | Loss: 12.1513 | Val F1: 0.1903 | Best: 0.1963
Epoch 031 | Loss: 12.1387 | Val F1: 0.1950 | Best: 0.1963
Epoch 032 | Loss: 12.1339 | Val F1: 0.1907 | Best: 0.1963
Epoch 033 | Loss: 12.1202 | Val F1: 0.1899 | Best: 0.1963
Epoch 034 | Loss: 12.1109 | Val F1: 0.1890 | Best: 0.1963
Epoch 035 | Loss: 12.1033 | Val F1: 0.1867 | Best: 0.1963
Epoch 036 | Loss: 12.0961 | Val F1: 0.1920 | Best: 0.1963
Epoch 037 | Loss: 12.0920 | Val F1: 0.1924 | Best: 0.1963
Epoch 038 | Loss: 12.0813 | Val F1: 0.1861 | Best: 0.1963
Epoch 039 | Loss: 12.0761 | Val F1: 0.1873 | Best: 0.1963
Epoch 040 | Loss: 12.0670 | Val F1: 0.1848 | Best: 0.1963
