nohup: ignoring input
Using device: cuda:8 | seed: 221
VN cache: ogbg_ppa/processed/vn_cache/6df729602e67e58bb510 (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,850,085
epochs=300 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 058 | Loss: 0.1439 | Val Acc: 0.6535 | Best: 0.6645 | lr: 1.48e-04
Epoch 059 | Loss: 0.1419 | Val Acc: 0.6498 | Best: 0.6645 | lr: 1.48e-04
Epoch 060 | Loss: 0.1384 | Val Acc: 0.6573 | Best: 0.6645 | lr: 1.47e-04
Epoch 061 | Loss: 0.1384 | Val Acc: 0.6576 | Best: 0.6645 | lr: 1.47e-04
Epoch 062 | Loss: 0.1366 | Val Acc: 0.6600 | Best: 0.6645 | lr: 1.46e-04
Epoch 063 | Loss: 0.1400 | Val Acc: 0.6623 | Best: 0.6645 | lr: 1.46e-04
Epoch 064 | Loss: 0.1376 | Val Acc: 0.6724 | Best: 0.6724 | lr: 1.45e-04
Epoch 065 | Loss: 0.1372 | Val Acc: 0.6494 | Best: 0.6724 | lr: 1.45e-04
Epoch 066 | Loss: 0.1334 | Val Acc: 0.6526 | Best: 0.6724 | lr: 1.44e-04
Epoch 067 | Loss: 0.1333 | Val Acc: 0.6520 | Best: 0.6724 | lr: 1.44e-04
Epoch 068 | Loss: 0.1331 | Val Acc: 0.6629 | Best: 0.6724 | lr: 1.43e-04
Epoch 069 | Loss: 0.1302 | Val Acc: 0.6512 | Best: 0.6724 | lr: 1.43e-04
Epoch 070 | Loss: 0.1288 | Val Acc: 0.6566 | Best: 0.6724 | lr: 1.42e-04
Epoch 071 | Loss: 0.1287 | Val Acc: 0.6556 | Best: 0.6724 | lr: 1.41e-04
Epoch 072 | Loss: 0.1268 | Val Acc: 0.6618 | Best: 0.6724 | lr: 1.41e-04
Epoch 073 | Loss: 0.1271 | Val Acc: 0.6607 | Best: 0.6724 | lr: 1.40e-04
Epoch 074 | Loss: 0.1256 | Val Acc: 0.6705 | Best: 0.6724 | lr: 1.40e-04
Epoch 075 | Loss: 0.1230 | Val Acc: 0.6573 | Best: 0.6724 | lr: 1.39e-04
Epoch 076 | Loss: 0.1206 | Val Acc: 0.6637 | Best: 0.6724 | lr: 1.39e-04
Epoch 077 | Loss: 0.1198 | Val Acc: 0.6661 | Best: 0.6724 | lr: 1.38e-04
Epoch 078 | Loss: 0.1202 | Val Acc: 0.6688 | Best: 0.6724 | lr: 1.37e-04
Epoch 079 | Loss: 0.1225 | Val Acc: 0.6638 | Best: 0.6724 | lr: 1.37e-04
Epoch 080 | Loss: 0.1190 | Val Acc: 0.6578 | Best: 0.6724 | lr: 1.36e-04
Epoch 081 | Loss: 0.1157 | Val Acc: 0.6560 | Best: 0.6724 | lr: 1.36e-04
Epoch 082 | Loss: 0.1168 | Val Acc: 0.6633 | Best: 0.6724 | lr: 1.35e-04
Epoch 083 | Loss: 0.1142 | Val Acc: 0.6522 | Best: 0.6724 | lr: 1.34e-04
Epoch 084 | Loss: 0.1127 | Val Acc: 0.6601 | Best: 0.6724 | lr: 1.34e-04
Epoch 085 | Loss: 0.1155 | Val Acc: 0.6686 | Best: 0.6724 | lr: 1.33e-04
Epoch 086 | Loss: 0.1130 | Val Acc: 0.6720 | Best: 0.6724 | lr: 1.32e-04
Epoch 087 | Loss: 0.1122 | Val Acc: 0.6599 | Best: 0.6724 | lr: 1.32e-04
Epoch 088 | Loss: 0.1126 | Val Acc: 0.6684 | Best: 0.6724 | lr: 1.31e-04
Epoch 089 | Loss: 0.1106 | Val Acc: 0.6565 | Best: 0.6724 | lr: 1.30e-04
Epoch 090 | Loss: 0.1081 | Val Acc: 0.6609 | Best: 0.6724 | lr: 1.30e-04
Epoch 091 | Loss: 0.1043 | Val Acc: 0.6611 | Best: 0.6724 | lr: 1.29e-04
Epoch 092 | Loss: 0.1061 | Val Acc: 0.6635 | Best: 0.6724 | lr: 1.28e-04
Epoch 093 | Loss: 0.1093 | Val Acc: 0.6654 | Best: 0.6724 | lr: 1.28e-04
Epoch 094 | Loss: 0.1040 | Val Acc: 0.6619 | Best: 0.6724 | lr: 1.27e-04
Epoch 095 | Loss: 0.1044 | Val Acc: 0.6599 | Best: 0.6724 | lr: 1.26e-04
Epoch 096 | Loss: 0.1041 | Val Acc: 0.6672 | Best: 0.6724 | lr: 1.26e-04
Epoch 097 | Loss: 0.1041 | Val Acc: 0.6554 | Best: 0.6724 | lr: 1.25e-04
Epoch 098 | Loss: 0.1045 | Val Acc: 0.6600 | Best: 0.6724 | lr: 1.24e-04
Epoch 099 | Loss: 0.1057 | Val Acc: 0.6536 | Best: 0.6724 | lr: 1.24e-04
Epoch 100 | Loss: 0.0988 | Val Acc: 0.6636 | Best: 0.6724 | lr: 1.23e-04
Epoch 101 | Loss: 0.0981 | Val Acc: 0.6707 | Best: 0.6724 | lr: 1.22e-04
Epoch 102 | Loss: 0.1010 | Val Acc: 0.6612 | Best: 0.6724 | lr: 1.21e-04
Epoch 103 | Loss: 0.0949 | Val Acc: 0.6616 | Best: 0.6724 | lr: 1.21e-04
Epoch 104 | Loss: 0.0932 | Val Acc: 0.6666 | Best: 0.6724 | lr: 1.20e-04
Epoch 105 | Loss: 0.0955 | Val Acc: 0.6648 | Best: 0.6724 | lr: 1.19e-04
Epoch 106 | Loss: 0.0943 | Val Acc: 0.6619 | Best: 0.6724 | lr: 1.18e-04
Epoch 107 | Loss: 0.0946 | Val Acc: 0.6687 | Best: 0.6724 | lr: 1.18e-04
Epoch 108 | Loss: 0.0940 | Val Acc: 0.6697 | Best: 0.6724 | lr: 1.17e-04
Epoch 109 | Loss: 0.0923 | Val Acc: 0.6715 | Best: 0.6724 | lr: 1.16e-04
Epoch 110 | Loss: 0.0913 | Val Acc: 0.6590 | Best: 0.6724 | lr: 1.15e-04
Epoch 111 | Loss: 0.0925 | Val Acc: 0.6703 | Best: 0.6724 | lr: 1.15e-04
Epoch 112 | Loss: 0.0900 | Val Acc: 0.6608 | Best: 0.6724 | lr: 1.14e-04
Epoch 113 | Loss: 0.0885 | Val Acc: 0.6616 | Best: 0.6724 | lr: 1.13e-04
Epoch 114 | Loss: 0.0916 | Val Acc: 0.6645 | Best: 0.6724 | lr: 1.12e-04
Epoch 115 | Loss: 0.0902 | Val Acc: 0.6585 | Best: 0.6724 | lr: 1.11e-04
Epoch 116 | Loss: 0.0877 | Val Acc: 0.6738 | Best: 0.6738 | lr: 1.11e-04
Epoch 117 | Loss: 0.0858 | Val Acc: 0.6538 | Best: 0.6738 | lr: 1.10e-04
Epoch 118 | Loss: 0.0833 | Val Acc: 0.6742 | Best: 0.6742 | lr: 1.09e-04
Epoch 119 | Loss: 0.0853 | Val Acc: 0.6699 | Best: 0.6742 | lr: 1.08e-04
Epoch 120 | Loss: 0.0848 | Val Acc: 0.6585 | Best: 0.6742 | lr: 1.07e-04
Epoch 121 | Loss: 0.0872 | Val Acc: 0.6645 | Best: 0.6742 | lr: 1.07e-04
Epoch 122 | Loss: 0.0830 | Val Acc: 0.6668 | Best: 0.6742 | lr: 1.06e-04
Epoch 123 | Loss: 0.0789 | Val Acc: 0.6785 | Best: 0.6785 | lr: 1.05e-04
Epoch 124 | Loss: 0.0793 | Val Acc: 0.6761 | Best: 0.6785 | lr: 1.04e-04
Epoch 125 | Loss: 0.0784 | Val Acc: 0.6640 | Best: 0.6785 | lr: 1.03e-04
Epoch 126 | Loss: 0.0785 | Val Acc: 0.6677 | Best: 0.6785 | lr: 1.03e-04
Epoch 127 | Loss: 0.0756 | Val Acc: 0.6562 | Best: 0.6785 | lr: 1.02e-04
Epoch 128 | Loss: 0.0773 | Val Acc: 0.6703 | Best: 0.6785 | lr: 1.01e-04
Epoch 129 | Loss: 0.0785 | Val Acc: 0.6689 | Best: 0.6785 | lr: 1.00e-04
Epoch 130 | Loss: 0.0786 | Val Acc: 0.6695 | Best: 0.6785 | lr: 9.93e-05
Epoch 131 | Loss: 0.0770 | Val Acc: 0.6727 | Best: 0.6785 | lr: 9.85e-05
Epoch 132 | Loss: 0.0750 | Val Acc: 0.6780 | Best: 0.6785 | lr: 9.76e-05
Epoch 133 | Loss: 0.0757 | Val Acc: 0.6699 | Best: 0.6785 | lr: 9.68e-05
Epoch 134 | Loss: 0.0725 | Val Acc: 0.6766 | Best: 0.6785 | lr: 9.60e-05
Epoch 135 | Loss: 0.0706 | Val Acc: 0.6775 | Best: 0.6785 | lr: 9.51e-05
Epoch 136 | Loss: 0.0722 | Val Acc: 0.6723 | Best: 0.6785 | lr: 9.43e-05
Epoch 137 | Loss: 0.0734 | Val Acc: 0.6779 | Best: 0.6785 | lr: 9.34e-05
Epoch 138 | Loss: 0.0680 | Val Acc: 0.6695 | Best: 0.6785 | lr: 9.26e-05
Epoch 139 | Loss: 0.0722 | Val Acc: 0.6622 | Best: 0.6785 | lr: 9.18e-05
Epoch 140 | Loss: 0.0713 | Val Acc: 0.6725 | Best: 0.6785 | lr: 9.09e-05
Epoch 141 | Loss: 0.0678 | Val Acc: 0.6693 | Best: 0.6785 | lr: 9.01e-05
Epoch 142 | Loss: 0.0680 | Val Acc: 0.6692 | Best: 0.6785 | lr: 8.92e-05
Epoch 143 | Loss: 0.0674 | Val Acc: 0.6725 | Best: 0.6785 | lr: 8.84e-05
Epoch 144 | Loss: 0.0634 | Val Acc: 0.6702 | Best: 0.6785 | lr: 8.75e-05
Epoch 145 | Loss: 0.0619 | Val Acc: 0.6682 | Best: 0.6785 | lr: 8.67e-05
Epoch 146 | Loss: 0.0653 | Val Acc: 0.6614 | Best: 0.6785 | lr: 8.58e-05
Epoch 147 | Loss: 0.0632 | Val Acc: 0.6747 | Best: 0.6785 | lr: 8.50e-05
Epoch 148 | Loss: 0.0647 | Val Acc: 0.6717 | Best: 0.6785 | lr: 8.41e-05
Epoch 149 | Loss: 0.0608 | Val Acc: 0.6689 | Best: 0.6785 | lr: 8.32e-05
Epoch 150 | Loss: 0.0604 | Val Acc: 0.6665 | Best: 0.6785 | lr: 8.24e-05
Epoch 151 | Loss: 0.0596 | Val Acc: 0.6805 | Best: 0.6805 | lr: 8.15e-05
Epoch 152 | Loss: 0.0620 | Val Acc: 0.6758 | Best: 0.6805 | lr: 8.07e-05
Epoch 153 | Loss: 0.0602 | Val Acc: 0.6739 | Best: 0.6805 | lr: 7.98e-05
Epoch 154 | Loss: 0.0601 | Val Acc: 0.6760 | Best: 0.6805 | lr: 7.90e-05
Epoch 155 | Loss: 0.0568 | Val Acc: 0.6728 | Best: 0.6805 | lr: 7.81e-05
Epoch 156 | Loss: 0.0572 | Val Acc: 0.6643 | Best: 0.6805 | lr: 7.73e-05
Epoch 157 | Loss: 0.0561 | Val Acc: 0.6773 | Best: 0.6805 | lr: 7.64e-05
Epoch 158 | Loss: 0.0572 | Val Acc: 0.6713 | Best: 0.6805 | lr: 7.56e-05
Epoch 159 | Loss: 0.0534 | Val Acc: 0.6684 | Best: 0.6805 | lr: 7.47e-05
Epoch 160 | Loss: 0.0544 | Val Acc: 0.6620 | Best: 0.6805 | lr: 7.38e-05
Epoch 161 | Loss: 0.0533 | Val Acc: 0.6753 | Best: 0.6805 | lr: 7.30e-05
Epoch 162 | Loss: 0.0555 | Val Acc: 0.6750 | Best: 0.6805 | lr: 7.21e-05
Epoch 163 | Loss: 0.0526 | Val Acc: 0.6781 | Best: 0.6805 | lr: 7.13e-05
Epoch 164 | Loss: 0.0518 | Val Acc: 0.6655 | Best: 0.6805 | lr: 7.04e-05
Epoch 165 | Loss: 0.0496 | Val Acc: 0.6723 | Best: 0.6805 | lr: 6.96e-05
Epoch 166 | Loss: 0.0509 | Val Acc: 0.6831 | Best: 0.6831 | lr: 6.88e-05
Epoch 167 | Loss: 0.0492 | Val Acc: 0.6755 | Best: 0.6831 | lr: 6.79e-05
Epoch 168 | Loss: 0.0477 | Val Acc: 0.6783 | Best: 0.6831 | lr: 6.71e-05
