nohup: ignoring input
Using device: cuda:2 | seed: 22112
VN cache: ogbg_ppa/processed/vn_cache/6df729602e67e58bb510 (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,021,437
epochs=300 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 001 | Loss: 2.0507 | Val Acc: 0.4207 | Best: 0.4207 | lr: 2.00e-04
Epoch 002 | Loss: 1.3367 | Val Acc: 0.5039 | Best: 0.5039 | lr: 3.00e-04
Epoch 003 | Loss: 1.0709 | Val Acc: 0.5355 | Best: 0.5355 | lr: 4.00e-04
Epoch 004 | Loss: 0.9139 | Val Acc: 0.5150 | Best: 0.5355 | lr: 5.00e-04
Epoch 005 | Loss: 0.8203 | Val Acc: 0.5596 | Best: 0.5596 | lr: 5.00e-04
Epoch 006 | Loss: 0.7121 | Val Acc: 0.5635 | Best: 0.5635 | lr: 5.00e-04
Epoch 007 | Loss: 0.6418 | Val Acc: 0.5988 | Best: 0.5988 | lr: 5.00e-04
Epoch 008 | Loss: 0.5818 | Val Acc: 0.5699 | Best: 0.5988 | lr: 5.00e-04
Epoch 009 | Loss: 0.5410 | Val Acc: 0.6085 | Best: 0.6085 | lr: 5.00e-04
Epoch 010 | Loss: 0.5133 | Val Acc: 0.5753 | Best: 0.6085 | lr: 5.00e-04
Epoch 011 | Loss: 0.4889 | Val Acc: 0.5874 | Best: 0.6085 | lr: 4.99e-04
Epoch 012 | Loss: 0.4734 | Val Acc: 0.6005 | Best: 0.6085 | lr: 4.99e-04
Epoch 013 | Loss: 0.4549 | Val Acc: 0.6065 | Best: 0.6085 | lr: 4.99e-04
Epoch 014 | Loss: 0.4423 | Val Acc: 0.6157 | Best: 0.6157 | lr: 4.99e-04
Epoch 015 | Loss: 0.4306 | Val Acc: 0.6312 | Best: 0.6312 | lr: 4.99e-04
Epoch 016 | Loss: 0.4243 | Val Acc: 0.6419 | Best: 0.6419 | lr: 4.98e-04
Epoch 017 | Loss: 0.4097 | Val Acc: 0.6225 | Best: 0.6419 | lr: 4.98e-04
Epoch 018 | Loss: 0.4045 | Val Acc: 0.6061 | Best: 0.6419 | lr: 4.98e-04
Epoch 019 | Loss: 0.3967 | Val Acc: 0.6316 | Best: 0.6419 | lr: 4.97e-04
Epoch 020 | Loss: 0.3960 | Val Acc: 0.6153 | Best: 0.6419 | lr: 4.97e-04
Epoch 021 | Loss: 0.3900 | Val Acc: 0.6149 | Best: 0.6419 | lr: 4.96e-04
Epoch 022 | Loss: 0.3837 | Val Acc: 0.5688 | Best: 0.6419 | lr: 4.96e-04
Epoch 023 | Loss: 0.3838 | Val Acc: 0.6184 | Best: 0.6419 | lr: 4.95e-04
Epoch 024 | Loss: 0.3792 | Val Acc: 0.6181 | Best: 0.6419 | lr: 4.95e-04
Epoch 025 | Loss: 0.3728 | Val Acc: 0.6260 | Best: 0.6419 | lr: 4.94e-04
Epoch 026 | Loss: 0.3755 | Val Acc: 0.6177 | Best: 0.6419 | lr: 4.94e-04
Epoch 027 | Loss: 0.3685 | Val Acc: 0.6202 | Best: 0.6419 | lr: 4.93e-04
Epoch 028 | Loss: 0.3670 | Val Acc: 0.6116 | Best: 0.6419 | lr: 4.93e-04
Epoch 029 | Loss: 0.3618 | Val Acc: 0.6272 | Best: 0.6419 | lr: 4.92e-04
Epoch 030 | Loss: 0.3638 | Val Acc: 0.6370 | Best: 0.6419 | lr: 4.91e-04
Epoch 031 | Loss: 0.3597 | Val Acc: 0.6069 | Best: 0.6419 | lr: 4.90e-04
Epoch 032 | Loss: 0.3604 | Val Acc: 0.6357 | Best: 0.6419 | lr: 4.90e-04
Epoch 033 | Loss: 0.3548 | Val Acc: 0.6317 | Best: 0.6419 | lr: 4.89e-04
Epoch 034 | Loss: 0.3530 | Val Acc: 0.6335 | Best: 0.6419 | lr: 4.88e-04
Epoch 035 | Loss: 0.3559 | Val Acc: 0.6274 | Best: 0.6419 | lr: 4.87e-04
Epoch 036 | Loss: 0.3513 | Val Acc: 0.6330 | Best: 0.6419 | lr: 4.86e-04
Epoch 037 | Loss: 0.3457 | Val Acc: 0.6349 | Best: 0.6419 | lr: 4.86e-04
Epoch 038 | Loss: 0.3421 | Val Acc: 0.6173 | Best: 0.6419 | lr: 4.85e-04
Epoch 039 | Loss: 0.3480 | Val Acc: 0.6308 | Best: 0.6419 | lr: 4.84e-04
Epoch 040 | Loss: 0.3440 | Val Acc: 0.6170 | Best: 0.6419 | lr: 4.83e-04
Epoch 041 | Loss: 0.3434 | Val Acc: 0.6164 | Best: 0.6419 | lr: 4.82e-04
Epoch 042 | Loss: 0.3385 | Val Acc: 0.6132 | Best: 0.6419 | lr: 4.81e-04
Epoch 043 | Loss: 0.3335 | Val Acc: 0.6357 | Best: 0.6419 | lr: 4.80e-04
Epoch 044 | Loss: 0.3366 | Val Acc: 0.5974 | Best: 0.6419 | lr: 4.79e-04
Epoch 045 | Loss: 0.3332 | Val Acc: 0.6194 | Best: 0.6419 | lr: 4.78e-04
Epoch 046 | Loss: 0.3362 | Val Acc: 0.5933 | Best: 0.6419 | lr: 4.77e-04
Epoch 047 | Loss: 0.3314 | Val Acc: 0.6200 | Best: 0.6419 | lr: 4.75e-04
Epoch 048 | Loss: 0.3330 | Val Acc: 0.6141 | Best: 0.6419 | lr: 4.74e-04
Epoch 049 | Loss: 0.3296 | Val Acc: 0.6393 | Best: 0.6419 | lr: 4.73e-04
