nohup: ignoring input
Using device: cuda:5 | seed: 2213
VN cache: ogbg_ppa/processed/vn_cache/6df729602e67e58bb510 (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,850,085
epochs=200 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 001 | Loss: 2.2872 | Val Acc: 0.4408 | Best: 0.4408 | lr: 6.42e-05
Epoch 002 | Loss: 1.5403 | Val Acc: 0.4934 | Best: 0.4934 | lr: 9.63e-05
Epoch 003 | Loss: 1.2376 | Val Acc: 0.5153 | Best: 0.5153 | lr: 1.28e-04
Epoch 004 | Loss: 1.0496 | Val Acc: 0.5247 | Best: 0.5247 | lr: 1.61e-04
Epoch 005 | Loss: 0.9125 | Val Acc: 0.5550 | Best: 0.5550 | lr: 1.61e-04
Epoch 006 | Loss: 0.7710 | Val Acc: 0.5713 | Best: 0.5713 | lr: 1.60e-04
Epoch 007 | Loss: 0.6729 | Val Acc: 0.5769 | Best: 0.5769 | lr: 1.60e-04
Epoch 008 | Loss: 0.5962 | Val Acc: 0.6016 | Best: 0.6016 | lr: 1.60e-04
Epoch 009 | Loss: 0.5394 | Val Acc: 0.6102 | Best: 0.6102 | lr: 1.60e-04
Epoch 010 | Loss: 0.5003 | Val Acc: 0.6117 | Best: 0.6117 | lr: 1.60e-04
Epoch 011 | Loss: 0.4583 | Val Acc: 0.6198 | Best: 0.6198 | lr: 1.60e-04
Epoch 012 | Loss: 0.4316 | Val Acc: 0.6342 | Best: 0.6342 | lr: 1.60e-04
Epoch 013 | Loss: 0.4078 | Val Acc: 0.6309 | Best: 0.6342 | lr: 1.60e-04
Epoch 014 | Loss: 0.3846 | Val Acc: 0.6325 | Best: 0.6342 | lr: 1.60e-04
Epoch 015 | Loss: 0.3629 | Val Acc: 0.6223 | Best: 0.6342 | lr: 1.59e-04
Epoch 016 | Loss: 0.3447 | Val Acc: 0.6326 | Best: 0.6342 | lr: 1.59e-04
Epoch 017 | Loss: 0.3272 | Val Acc: 0.6306 | Best: 0.6342 | lr: 1.59e-04
Epoch 018 | Loss: 0.3160 | Val Acc: 0.6462 | Best: 0.6462 | lr: 1.59e-04
Epoch 019 | Loss: 0.3019 | Val Acc: 0.6352 | Best: 0.6462 | lr: 1.58e-04
Epoch 020 | Loss: 0.2920 | Val Acc: 0.6435 | Best: 0.6462 | lr: 1.58e-04
Epoch 021 | Loss: 0.2777 | Val Acc: 0.6359 | Best: 0.6462 | lr: 1.58e-04
Epoch 022 | Loss: 0.2664 | Val Acc: 0.6434 | Best: 0.6462 | lr: 1.58e-04
Epoch 023 | Loss: 0.2588 | Val Acc: 0.6475 | Best: 0.6475 | lr: 1.57e-04
Epoch 024 | Loss: 0.2540 | Val Acc: 0.6434 | Best: 0.6475 | lr: 1.57e-04
Epoch 025 | Loss: 0.2426 | Val Acc: 0.6556 | Best: 0.6556 | lr: 1.56e-04
Epoch 026 | Loss: 0.2389 | Val Acc: 0.6377 | Best: 0.6556 | lr: 1.56e-04
Epoch 027 | Loss: 0.2306 | Val Acc: 0.6383 | Best: 0.6556 | lr: 1.56e-04
Epoch 028 | Loss: 0.2227 | Val Acc: 0.6430 | Best: 0.6556 | lr: 1.55e-04
Epoch 029 | Loss: 0.2223 | Val Acc: 0.6281 | Best: 0.6556 | lr: 1.55e-04
Epoch 030 | Loss: 0.2147 | Val Acc: 0.6533 | Best: 0.6556 | lr: 1.54e-04
Epoch 031 | Loss: 0.2089 | Val Acc: 0.6478 | Best: 0.6556 | lr: 1.54e-04
Epoch 032 | Loss: 0.2071 | Val Acc: 0.6501 | Best: 0.6556 | lr: 1.53e-04
Epoch 033 | Loss: 0.2028 | Val Acc: 0.6439 | Best: 0.6556 | lr: 1.52e-04
Epoch 034 | Loss: 0.1946 | Val Acc: 0.6475 | Best: 0.6556 | lr: 1.52e-04
Epoch 035 | Loss: 0.1965 | Val Acc: 0.6481 | Best: 0.6556 | lr: 1.51e-04
Epoch 036 | Loss: 0.1892 | Val Acc: 0.6522 | Best: 0.6556 | lr: 1.51e-04
Epoch 037 | Loss: 0.1872 | Val Acc: 0.6529 | Best: 0.6556 | lr: 1.50e-04
Epoch 038 | Loss: 0.1791 | Val Acc: 0.6501 | Best: 0.6556 | lr: 1.49e-04
Epoch 039 | Loss: 0.1805 | Val Acc: 0.6484 | Best: 0.6556 | lr: 1.49e-04
Epoch 040 | Loss: 0.1759 | Val Acc: 0.6502 | Best: 0.6556 | lr: 1.48e-04
Epoch 041 | Loss: 0.1690 | Val Acc: 0.6404 | Best: 0.6556 | lr: 1.47e-04
Epoch 042 | Loss: 0.1703 | Val Acc: 0.6649 | Best: 0.6649 | lr: 1.47e-04
Epoch 043 | Loss: 0.1688 | Val Acc: 0.6598 | Best: 0.6649 | lr: 1.46e-04
Epoch 044 | Loss: 0.1621 | Val Acc: 0.6547 | Best: 0.6649 | lr: 1.45e-04
Epoch 045 | Loss: 0.1684 | Val Acc: 0.6670 | Best: 0.6670 | lr: 1.44e-04
Epoch 046 | Loss: 0.1583 | Val Acc: 0.6506 | Best: 0.6670 | lr: 1.44e-04
Epoch 047 | Loss: 0.1558 | Val Acc: 0.6668 | Best: 0.6670 | lr: 1.43e-04
Epoch 048 | Loss: 0.1569 | Val Acc: 0.6585 | Best: 0.6670 | lr: 1.42e-04
Epoch 049 | Loss: 0.1528 | Val Acc: 0.6540 | Best: 0.6670 | lr: 1.41e-04
Epoch 050 | Loss: 0.1547 | Val Acc: 0.6497 | Best: 0.6670 | lr: 1.40e-04
Epoch 051 | Loss: 0.1472 | Val Acc: 0.6482 | Best: 0.6670 | lr: 1.39e-04
Epoch 052 | Loss: 0.1456 | Val Acc: 0.6511 | Best: 0.6670 | lr: 1.39e-04
Epoch 053 | Loss: 0.1410 | Val Acc: 0.6535 | Best: 0.6670 | lr: 1.38e-04
Epoch 054 | Loss: 0.1411 | Val Acc: 0.6594 | Best: 0.6670 | lr: 1.37e-04
Epoch 055 | Loss: 0.1391 | Val Acc: 0.6546 | Best: 0.6670 | lr: 1.36e-04
Epoch 056 | Loss: 0.1351 | Val Acc: 0.6674 | Best: 0.6674 | lr: 1.35e-04
Epoch 057 | Loss: 0.1374 | Val Acc: 0.6631 | Best: 0.6674 | lr: 1.34e-04
Epoch 058 | Loss: 0.1324 | Val Acc: 0.6600 | Best: 0.6674 | lr: 1.33e-04
Epoch 059 | Loss: 0.1312 | Val Acc: 0.6651 | Best: 0.6674 | lr: 1.32e-04
