nohup: ignoring input
Using device: cuda:8 | seed: 221122
VN cache: ogbg_ppa/processed/vn_cache/6df729602e67e58bb510 (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,850,085
epochs=300 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 001 | Loss: 2.2171 | Val Acc: 0.4543 | Best: 0.4543 | lr: 6.42e-05
Epoch 002 | Loss: 1.4914 | Val Acc: 0.5008 | Best: 0.5008 | lr: 9.63e-05
Epoch 003 | Loss: 1.1938 | Val Acc: 0.5263 | Best: 0.5263 | lr: 1.28e-04
Epoch 004 | Loss: 1.0303 | Val Acc: 0.5519 | Best: 0.5519 | lr: 1.61e-04
Epoch 005 | Loss: 0.8983 | Val Acc: 0.5703 | Best: 0.5703 | lr: 1.61e-04
Epoch 006 | Loss: 0.7509 | Val Acc: 0.5371 | Best: 0.5703 | lr: 1.61e-04
Epoch 007 | Loss: 0.6583 | Val Acc: 0.6028 | Best: 0.6028 | lr: 1.60e-04
Epoch 008 | Loss: 0.5808 | Val Acc: 0.6048 | Best: 0.6048 | lr: 1.60e-04
Epoch 009 | Loss: 0.5294 | Val Acc: 0.6035 | Best: 0.6048 | lr: 1.60e-04
Epoch 010 | Loss: 0.4882 | Val Acc: 0.6116 | Best: 0.6116 | lr: 1.60e-04
Epoch 011 | Loss: 0.4553 | Val Acc: 0.6313 | Best: 0.6313 | lr: 1.60e-04
Epoch 012 | Loss: 0.4227 | Val Acc: 0.6172 | Best: 0.6313 | lr: 1.60e-04
Epoch 013 | Loss: 0.3973 | Val Acc: 0.6412 | Best: 0.6412 | lr: 1.60e-04
Epoch 014 | Loss: 0.3757 | Val Acc: 0.6430 | Best: 0.6430 | lr: 1.60e-04
Epoch 015 | Loss: 0.3567 | Val Acc: 0.6436 | Best: 0.6436 | lr: 1.60e-04
Epoch 016 | Loss: 0.3393 | Val Acc: 0.6478 | Best: 0.6478 | lr: 1.60e-04
Epoch 017 | Loss: 0.3247 | Val Acc: 0.6406 | Best: 0.6478 | lr: 1.60e-04
