nohup: ignoring input
Using device: cuda:2 | seed: 22313
VN cache: ogbg_ppa/processed/vn_cache/6df729602e67e58bb510 (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,021,437
epochs=250 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 001 | Loss: 1.8394 | Val Acc: 0.4339 | Best: 0.4339 | lr: 4.00e-04
Epoch 002 | Loss: 1.2245 | Val Acc: 0.5441 | Best: 0.5441 | lr: 6.00e-04
Epoch 003 | Loss: 0.9947 | Val Acc: 0.5422 | Best: 0.5441 | lr: 8.00e-04
Epoch 004 | Loss: 0.8574 | Val Acc: 0.5477 | Best: 0.5477 | lr: 1.00e-03
Epoch 005 | Loss: 0.7929 | Val Acc: 0.5549 | Best: 0.5549 | lr: 1.00e-03
Epoch 006 | Loss: 0.7036 | Val Acc: 0.5701 | Best: 0.5701 | lr: 1.00e-03
Epoch 007 | Loss: 0.6536 | Val Acc: 0.5351 | Best: 0.5701 | lr: 1.00e-03
Epoch 008 | Loss: 0.6164 | Val Acc: 0.5498 | Best: 0.5701 | lr: 1.00e-03
Epoch 009 | Loss: 0.5946 | Val Acc: 0.5801 | Best: 0.5801 | lr: 9.99e-04
Epoch 010 | Loss: 0.5767 | Val Acc: 0.5544 | Best: 0.5801 | lr: 9.99e-04
Epoch 011 | Loss: 0.5613 | Val Acc: 0.5887 | Best: 0.5887 | lr: 9.99e-04
Epoch 012 | Loss: 0.5520 | Val Acc: 0.5872 | Best: 0.5887 | lr: 9.98e-04
Epoch 013 | Loss: 0.5393 | Val Acc: 0.5751 | Best: 0.5887 | lr: 9.97e-04
Epoch 014 | Loss: 0.5278 | Val Acc: 0.5558 | Best: 0.5887 | lr: 9.97e-04
Epoch 015 | Loss: 0.5214 | Val Acc: 0.5675 | Best: 0.5887 | lr: 9.96e-04
Epoch 016 | Loss: 0.5128 | Val Acc: 0.5562 | Best: 0.5887 | lr: 9.95e-04
Epoch 017 | Loss: 0.5073 | Val Acc: 0.5738 | Best: 0.5887 | lr: 9.94e-04
Epoch 018 | Loss: 0.4966 | Val Acc: 0.5945 | Best: 0.5945 | lr: 9.93e-04
Epoch 019 | Loss: 0.4989 | Val Acc: 0.6148 | Best: 0.6148 | lr: 9.92e-04
Epoch 020 | Loss: 0.4913 | Val Acc: 0.5850 | Best: 0.6148 | lr: 9.91e-04
Epoch 021 | Loss: 0.4815 | Val Acc: 0.5921 | Best: 0.6148 | lr: 9.90e-04
Epoch 022 | Loss: 0.4745 | Val Acc: 0.5901 | Best: 0.6148 | lr: 9.88e-04
Epoch 023 | Loss: 0.4755 | Val Acc: 0.5846 | Best: 0.6148 | lr: 9.87e-04
Epoch 024 | Loss: 0.4743 | Val Acc: 0.6045 | Best: 0.6148 | lr: 9.85e-04
Epoch 025 | Loss: 0.4651 | Val Acc: 0.5691 | Best: 0.6148 | lr: 9.84e-04
Epoch 026 | Loss: 0.4680 | Val Acc: 0.5534 | Best: 0.6148 | lr: 9.82e-04
Epoch 027 | Loss: 0.4665 | Val Acc: 0.5780 | Best: 0.6148 | lr: 9.80e-04
Epoch 028 | Loss: 0.4571 | Val Acc: 0.5674 | Best: 0.6148 | lr: 9.78e-04
